datetime,timestamp,open,high,low,close,volume,rsi,max_price,min_price,fib_23.6,fib_38.2,fib_50.0,fib_61.8,fib_78.6
2022-03-02,1646179200000,44421.2,45400.0,43334.09,43892.98,57782.65081,,,,,,,,
2022-03-03,1646265600000,43892.99,44101.12,41832.28,42454.0,50940.61021,,,,,,,,
2022-03-04,1646352000000,42454.0,42527.3,38550.0,39148.66,61964.68498,,,,,,,,
2022-03-05,1646438400000,39148.65,39613.24,38407.59,39397.96,30363.13341,,,,,,,,
2022-03-06,1646524800000,39397.97,39693.87,38088.57,38420.81,39677.26158,,,,,,,,
2022-03-07,1646611200000,38420.8,39547.57,37155.0,37988.0,63994.11559,,,,,,,,
2022-03-08,1646697600000,37988.01,39362.08,37867.65,38730.63,55583.06638,,,,,,,,
2022-03-09,1646784000000,38730.63,42594.06,38656.45,41941.71,67392.58799,,,,,,,,
2022-03-10,1646870400000,41941.7,42039.63,38539.73,39422.0,71962.93154,,,,,,,,
2022-03-11,1646956800000,39422.01,40236.26,38223.6,38729.57,59018.7642,,,,,,,,
2022-03-12,1647043200000,38729.57,39486.71,38660.52,38807.36,24034.36432,,,,,,,,
2022-03-13,1647129600000,38807.35,39310.0,37578.51,37777.34,32791.82359,,,,,,,,
2022-03-14,1647216000000,37777.35,39947.12,37555.0,39671.37,46945.45375,,,,,,,,
2022-03-15,1647302400000,39671.37,39887.61,38098.33,39280.33,46015.54926,,,,,,,,
2022-03-16,1647388800000,39280.33,41718.0,38828.48,41114.0,88120.76167,42.60751501118856,,,,,,,
2022-03-17,1647475200000,41114.01,41478.82,40500.0,40917.9,37189.38087,42.13411185757726,,,,,,,
2022-03-18,1647561600000,40917.89,42325.02,40135.04,41757.51,45408.00969,44.95414526332671,,,,,,,
2022-03-19,1647648000000,41757.51,42400.0,41499.29,42201.13,29067.18108,46.4393810840329,,,,,,,
2022-03-20,1647734400000,42201.13,42296.26,40911.0,41262.11,30653.33468,43.748570832629156,,,,,,,
