datetime,timestamp,open,high,low,close,volume
2024-11-14 21:30:00,1731619800000,88089.7,88220.03,87713.88,88029.71,515.33343
2024-11-14 21:45:00,1731620700000,88029.7,88280.91,87956.0,88227.22,654.46232
2024-11-14 22:00:00,1731621600000,88227.23,88360.0,87453.87,87914.52,435.20324
2024-11-14 22:15:00,1731622500000,87914.51,88190.15,87750.0,87750.0,389.92236
2024-11-14 22:30:00,1731623400000,87750.0,87899.99,87050.0,87899.99,610.1082
2024-11-14 22:45:00,1731624300000,87899.99,88107.07,87574.04,87640.01,439.89753
2024-11-14 23:00:00,1731625200000,87640.01,87771.85,86919.03,86960.0,808.54067
2024-11-14 23:15:00,1731626100000,86960.0,87620.0,86957.94,87444.15,615.11971
2024-11-14 23:30:00,1731627000000,87444.14,87444.15,86668.21,87282.91,816.63963
2024-11-14 23:45:00,1731627900000,87282.92,87408.23,86994.23,87325.59,502.53284
2024-11-15 00:00:00,1731628800000,87325.59,88303.27,87252.0,88105.61,890.50317
2024-11-15 00:15:00,1731629700000,88105.61,88336.0,87953.09,88199.87,449.8487
2024-11-15 00:30:00,1731630600000,88199.88,88435.16,88011.82,88046.5,355.87359
2024-11-15 00:45:00,1731631500000,88046.5,88160.0,87848.48,87870.27,406.12292
2024-11-15 01:00:00,1731632400000,87870.26,88168.63,87655.8,87791.71,484.00231
2024-11-15 01:15:00,1731633300000,87791.7,88026.8,87373.45,87631.58,570.40075
2024-11-15 01:30:00,1731634200000,87631.58,88030.31,87573.02,87975.99,386.32533
2024-11-15 01:45:00,1731635100000,87975.99,88168.61,87848.48,88098.99,267.0636
2024-11-15 02:00:00,1731636000000,88098.99,88188.0,87816.93,88090.9,261.61808
2024-11-15 02:15:00,1731636900000,88090.9,88169.69,87736.0,88020.13,351.76384
2024-11-15 02:30:00,1731637800000,88020.14,88397.61,87990.88,88397.6,315.74086
2024-11-15 02:45:00,1731638700000,88397.61,88443.83,88259.26,88364.07,298.2403
2024-11-15 03:00:00,1731639600000,88364.07,88400.0,88148.36,88212.12,199.62952
2024-11-15 03:15:00,1731640500000,88212.13,88336.78,88116.0,88235.72,238.42145
2024-11-15 03:30:00,1731641400000,88235.73,88473.7,88186.07,88384.85,295.99194
2024-11-15 03:45:00,1731642300000,88384.85,88413.21,88186.07,88218.21,260.97554
2024-11-15 04:00:00,1731643200000,88218.22,88242.43,88071.66,88071.67,199.68271
2024-11-15 04:15:00,1731644100000,88071.66,88108.64,87538.0,87808.0,605.08846
2024-11-15 04:30:00,1731645000000,87807.99,87811.34,87083.0,87381.64,912.77935
2024-11-15 04:45:00,1731645900000,87381.65,87540.0,87073.38,87454.57,421.01202
2024-11-15 05:00:00,1731646800000,87454.58,87748.86,87276.01,87608.55,355.20612
2024-11-15 05:15:00,1731647700000,87608.55,87764.7,87324.52,87760.0,355.95395
2024-11-15 05:30:00,1731648600000,87760.0,87857.14,87681.23,87804.0,235.07279
2024-11-15 05:45:00,1731649500000,87803.99,87860.46,87574.37,87724.0,283.54578
2024-11-15 06:00:00,1731650400000,87724.0,88015.51,87700.0,87904.0,336.5884
2024-11-15 06:15:00,1731651300000,87904.0,88080.0,87888.6,87957.83,278.67357
2024-11-15 06:30:00,1731652200000,87957.83,87978.12,87584.2,87708.95,369.69033
2024-11-15 06:45:00,1731653100000,87708.95,88182.69,87694.66,88182.67,440.95755
2024-11-15 07:00:00,1731654000000,88182.68,88284.94,88046.31,88090.91,279.13825
2024-11-15 07:15:00,1731654900000,88090.9,88391.99,88050.62,88246.11,305.22033
2024-11-15 07:30:00,1731655800000,88246.1,88266.92,87770.0,87931.99,717.22744
2024-11-15 07:45:00,1731656700000,87931.99,87959.99,87588.0,87612.0,788.139
2024-11-15 08:00:00,1731657600000,87612.01,87778.23,87368.0,87446.89,385.86964
2024-11-15 08:15:00,1731658500000,87446.89,87724.0,87446.88,87611.68,303.95389
2024-11-15 08:30:00,1731659400000,87611.68,88159.61,87607.68,88087.28,384.68504
2024-11-15 08:45:00,1731660300000,88087.28,88165.91,88000.0,88082.96,273.39235
2024-11-15 09:00:00,1731661200000,88082.96,88824.89,88024.4,88805.08,655.96167
2024-11-15 09:15:00,1731662100000,88805.08,89333.33,88650.0,89188.01,771.35512
2024-11-15 09:30:00,1731663000000,89188.01,89350.0,89047.58,89064.14,475.22028
2024-11-15 09:45:00,1731663900000,89064.14,89261.91,88900.0,89195.99,393.76523
2024-11-15 10:00:00,1731664800000,89195.99,89203.62,88943.53,89136.08,347.27161
2024-11-15 10:15:00,1731665700000,89136.08,89427.46,88997.5,89358.94,439.69613
2024-11-15 10:30:00,1731666600000,89358.93,89358.94,89075.0,89121.39,251.17468
2024-11-15 10:45:00,1731667500000,89121.39,89458.13,89109.59,89354.55,391.78749
2024-11-15 11:00:00,1731668400000,89354.54,89538.73,89208.4,89279.96,469.75435
2024-11-15 11:15:00,1731669300000,89279.96,89333.34,89138.94,89317.28,262.84895
2024-11-15 11:30:00,1731670200000,89317.29,89582.16,89303.01,89432.9,380.68044
2024-11-15 11:45:00,1731671100000,89432.9,89771.99,89409.26,89741.25,453.04163
2024-11-15 12:00:00,1731672000000,89741.24,90707.72,89591.55,90660.54,1010.08725
2024-11-15 12:15:00,1731672900000,90660.54,90709.74,90145.31,90284.19,792.59404
2024-11-15 12:30:00,1731673800000,90284.2,90302.88,89644.3,89823.35,499.26874
2024-11-15 12:45:00,1731674700000,89823.35,89999.3,89687.5,89753.84,325.08491
2024-11-15 13:00:00,1731675600000,89753.84,89971.85,89600.0,89940.04,370.43316
2024-11-15 13:15:00,1731676500000,89940.04,90000.0,89505.0,89599.86,358.67654
2024-11-15 13:30:00,1731677400000,89599.86,89961.21,89241.57,89941.78,582.75364
2024-11-15 13:45:00,1731678300000,89941.77,90482.3,89925.28,90148.0,593.01023
2024-11-15 14:00:00,1731679200000,90148.0,90200.0,89654.17,89763.98,438.25674
