datetime,timestamp,open,high,low,close,volume,rsi,max_price,min_price,fib_23.6,fib_38.2,fib_50.0,fib_61.8,fib_78.6
2024-11-04 05:30:00,1730698200000,68974.0,69030.0,68699.9,68820.01,427.27541,,,,,,,,
2024-11-04 06:00:00,1730700000000,68820.01,69150.0,68820.0,69096.38,375.6354,,,,,,,,
2024-11-04 06:30:00,1730701800000,69096.38,69170.01,68934.0,69126.18,344.98028,,,,,,,,
2024-11-04 07:00:00,1730703600000,69126.18,69175.97,68916.0,68926.01,240.71272,,,,,,,,
2024-11-04 07:30:00,1730705400000,68926.0,68926.01,68618.0,68618.0,512.92976,,,,,,,,
2024-11-04 08:00:00,1730707200000,68618.0,68755.24,68563.79,68640.01,368.94061,,,,,,,,
2024-11-04 08:30:00,1730709000000,68640.0,68705.7,68470.0,68699.99,436.35446,,,,,,,,
2024-11-04 09:00:00,1730710800000,68699.98,68924.0,68693.25,68750.01,399.08411,,,,,,,,
2024-11-04 09:30:00,1730712600000,68750.0,68750.01,68480.01,68640.83,440.98869,,,,,,,,
2024-11-04 10:00:00,1730714400000,68640.83,68921.28,68602.0,68761.31,502.01411,,,,,,,,
2024-11-04 10:30:00,1730716200000,68761.3,68911.22,68750.0,68834.05,270.2628,,,,,,,,
2024-11-04 11:00:00,1730718000000,68834.04,69036.0,68700.0,68777.99,426.26247,,,,,,,,
2024-11-04 11:30:00,1730719800000,68778.0,68892.0,68750.0,68792.71,217.77448,,,,,,,,
2024-11-04 12:00:00,1730721600000,68792.72,69014.0,68739.9,68934.01,396.94737,,,,,,,,
2024-11-04 12:30:00,1730723400000,68934.0,69019.16,68823.38,68978.2,397.18427,55.25537696923004,,,,,,,
2024-11-04 13:00:00,1730725200000,68978.19,69264.52,68950.01,69087.99,614.90081,58.514485284884444,,,,,,,
2024-11-04 13:30:00,1730727000000,69088.0,69166.67,68650.0,68662.39,819.9991,44.8704728966041,,,,,,,
2024-11-04 14:00:00,1730728800000,68662.39,68722.0,68511.0,68646.33,916.49713,44.44928863373822,,,,,,,
2024-11-04 14:30:00,1730730600000,68646.33,68680.0,68202.99,68394.01,1597.14795,38.35740588636689,,,,,,,
2024-11-04 15:00:00,1730732400000,68394.01,68509.46,68234.0,68470.0,1012.17725,40.980834419908,69264.52,68202.99,69013.99892,68859.01554000001,68733.755,68608.49446,68430.15742
2024-11-04 15:30:00,1730734200000,68470.0,68758.0,68328.0,68646.01,748.04412,46.64491860310772,69264.52,68202.99,69013.99892,68859.01554000001,68733.755,68608.49446,68430.15742
2024-11-04 16:00:00,1730736000000,68646.01,68814.32,68236.61,68282.01,760.61748,38.43074056197715,69264.52,68202.99,69013.99892,68859.01554000001,68733.755,68608.49446,68430.15742
